<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221028;160000;170.0900000;170.5000000;170.0600000;170.2600000;1276750
GAZP;60;20221028;170000;170.2100000;170.7300000;169.8200000;170.4200000;2832800
GAZP;60;20221028;180000;170.4200000;170.5000000;169.9200000;170.3000000;1173160
GAZP;60;20221028;190000;170.3000000;170.6000000;170.2000000;170.3900000;515630
GAZP;60;20221028;200000;170.3800000;170.5000000;170.3000000;170.5000000;301020
GAZP;60;20221028;210000;170.5000000;170.9200000;170.4800000;170.8000000;484410
GAZP;60;20221028;220000;170.8000000;170.9900000;170.5900000;170.8400000;479710
GAZP;60;20221028;230000;170.8500000;170.9800000;170.7000000;170.7300000;239890
GAZP;60;20221031;100000;170.7400000;171.5000000;170.0200000;170.3300000;3663480
GAZP;60;20221031;110000;170.3100000;170.7700000;169.6000000;170.0000000;2959690
GAZP;60;20221031;120000;170.0500000;170.1400000;169.2100000;170.0600000;1779480
GAZP;60;20221031;130000;170.0500000;170.0700000;169.2100000;169.7200000;1018320
GAZP;60;20221031;140000;169.7800000;170.1000000;169.5200000;170.0500000;1053850
GAZP;60;20221031;150000;170.0500000;170.3500000;169.8200000;169.9800000;1362010
GAZP;60;20221031;160000;169.9800000;170.0500000;169.5500000;169.5600000;1181610
GAZP;60;20221031;170000;169.5500000;170.1000000;169.5100000;170.0000000;649410
GAZP;60;20221031;180000;170.0000000;170.2000000;169.8700000;170.0000000;1005300
GAZP;60;20221031;190000;170.0000000;170.3100000;169.4100000;170.0600000;515390
GAZP;60;20221031;200000;170.0600000;170.1900000;169.9900000;170.1400000;169840
GAZP;60;20221031;210000;170.1400000;170.3500000;170.0000000;170.2900000;227820
GAZP;60;20221031;220000;170.2900000;170.3000000;170.1600000;170.2400000;146310
GAZP;60;20221031;230000;170.2300000;170.5000000;170.2000000;170.2700000;255450
GAZP;60;20221101;100000;170.8900000;171.2900000;170.4000000;170.7300000;3541740
GAZP;60;20221101;110000;170.7300000;170.8500000;170.3600000;170.6100000;1242630
GAZP;60;20221101;120000;170.6100000;171.0700000;170.5000000;170.9200000;1905630
GAZP;60;20221101;130000;170.9200000;171.0000000;169.9000000;170.2700000;2989080
GAZP;60;20221101;140000;170.2600000;170.5000000;170.0900000;170.5000000;1270060
GAZP;60;20221101;150000;170.5000000;170.7700000;170.3700000;170.3700000;1093070
GAZP;60;20221101;160000;170.4000000;170.4900000;170.1200000;170.4800000;1134010
GAZP;60;20221101;170000;170.4800000;170.4800000;169.8300000;169.8600000;1456000
GAZP;60;20221101;180000;169.8600000;170.1500000;169.7500000;170.0000000;860130
GAZP;60;20221101;190000;170.0000000;170.1000000;169.9000000;170.1000000;452670
GAZP;60;20221101;200000;170.1000000;170.1800000;170.0100000;170.1000000;247820
GAZP;60;20221101;210000;170.1400000;170.1700000;170.0000000;170.0200000;206920
GAZP;60;20221101;220000;170.0500000;170.1000000;169.8800000;169.9800000;226880
GAZP;60;20221101;230000;169.9800000;170.0100000;169.9000000;169.9200000;146170
GAZP;60;20221102;100000;169.9900000;169.9900000;168.8100000;169.1200000;4313810
GAZP;60;20221102;110000;169.1100000;169.5000000;169.0300000;169.4900000;867020
GAZP;60;20221102;120000;169.4900000;169.5000000;169.2000000;169.5000000;898390
GAZP;60;20221102;130000;169.5000000;169.9000000;169.3100000;169.9000000;2667270
GAZP;60;20221102;140000;169.9000000;169.9000000;169.5000000;169.7700000;714140
GAZP;60;20221102;150000;169.7600000;169.9000000;169.5600000;169.8500000;741420
GAZP;60;20221102;160000;169.8800000;169.9000000;169.5000000;169.6000000;1222870
GAZP;60;20221102;170000;169.5600000;169.8500000;169.0900000;169.7600000;1307630
